name,quantity,region,service_id,sku,"total_price, USD",notes
Zonal Kubernetes Clusters,1.0,global,CCD8-9BF1-090E,6B92-A835-08AB,73,
Regional Kubernetes Clusters,0.0,global,CCD8-9BF1-090E,B561-BFBD-1264,0,
Storage PD Capacity in London,20.0,europe-west2,6F81-5844-456A,BF1A-6647-009D,0.96,
Custom Instance Core running in London,1460.0,europe-west2,6F81-5844-456A,201A-CE43-C161,62.43909,
Custom Instance Ram running in London,1460.0,europe-west2,6F81-5844-456A,7B74-5AE0-3F99,8.36711,
,,,,,,
,,,,Total Price:,144.7662,
,,,,,,
"Prices are in US dollars, effective date is 2024-04-13T17:02:49.542Z",,,,,,
,,,,,,
The estimated fees provided by Google Cloud Pricing Calculator are for discussion purposes only and are not binding on either you or Google. Your actual fees may be higher or lower than the estimate.,,,,,,
,,,,,,
Url to the estimate:,https://cloud.google.com/calculator?dl=CiQzNmY5MWYwOS1iZTg2LTQ1Y2YtYTM0Zi05NmZkYjU5ZWU0MTE=,,,,,,
